TABLE_NAME,TABLE_NUMBER,COMMODITY_DESCRIPTION,CLASS_DESCRIPTION,YEAR,REFERENCE_PERIOD_DESCRIPTION,LOCATION_DESCRIPTION,STATISTIC_DESCRIPTION,VALUE,UNIT_DESCRIPTION,is_us_total,is_all_classes,VALUE_clipped
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1963,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4300.0,POUNDS PER ACRE,False,True,4300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1963,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4125.0,POUNDS PER ACRE,False,True,4125.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1963,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4200.0,POUNDS PER ACRE,False,True,4200.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1963,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,4325.0,POUNDS PER ACRE,False,True,4325.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1963,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,3968.0,POUNDS PER ACRE,True,True,3968.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1963,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,3900.0,POUNDS PER ACRE,False,True,3900.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1964,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4150.0,POUNDS PER ACRE,False,True,4150.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1964,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3300.0,POUNDS PER ACRE,True,True,3300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1964,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4300.0,POUNDS PER ACRE,False,True,4300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1964,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,3800.0,POUNDS PER ACRE,False,True,3800.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1964,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4098.0,POUNDS PER ACRE,True,True,4098.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1964,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4300.0,POUNDS PER ACRE,False,True,4300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1964,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5050.0,POUNDS PER ACRE,False,True,5050.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1965,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,3700.0,POUNDS PER ACRE,False,True,3700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1965,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4300.0,POUNDS PER ACRE,False,True,4300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1965,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4255.0,POUNDS PER ACRE,True,True,4255.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1965,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4600.0,POUNDS PER ACRE,False,True,4600.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1965,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,4900.0,POUNDS PER ACRE,False,True,4900.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1965,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4500.0,POUNDS PER ACRE,False,True,4500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1965,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3550.0,POUNDS PER ACRE,True,True,3550.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1966,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4200.0,POUNDS PER ACRE,False,True,4200.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1966,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4300.0,POUNDS PER ACRE,False,True,4300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1966,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4400.0,POUNDS PER ACRE,False,True,4400.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1966,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4300.0,POUNDS PER ACRE,False,True,4300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1966,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5500.0,POUNDS PER ACRE,False,True,5500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1966,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4322.0,POUNDS PER ACRE,True,True,4322.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1966,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3700.0,POUNDS PER ACRE,True,True,3700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1967,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4600.0,POUNDS PER ACRE,False,True,4600.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1967,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,5000.0,POUNDS PER ACRE,False,True,5000.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1967,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,4900.0,POUNDS PER ACRE,False,True,4900.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1967,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4300.0,POUNDS PER ACRE,False,True,4300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1967,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3900.0,POUNDS PER ACRE,True,True,3900.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1967,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4537.0,POUNDS PER ACRE,True,True,4537.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1967,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4550.0,POUNDS PER ACRE,False,True,4550.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1968,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4425.0,POUNDS PER ACRE,True,True,4425.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1968,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4550.0,POUNDS PER ACRE,False,True,4550.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1968,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5325.0,POUNDS PER ACRE,False,True,5325.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1968,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4400.0,POUNDS PER ACRE,False,True,4400.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1968,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4300.0,POUNDS PER ACRE,False,True,4300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1968,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3850.0,POUNDS PER ACRE,True,True,3850.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1968,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4500.0,POUNDS PER ACRE,False,True,4500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1969,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3500.0,POUNDS PER ACRE,True,True,3500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1969,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5525.0,POUNDS PER ACRE,False,True,5525.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1969,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4600.0,POUNDS PER ACRE,False,True,4600.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1969,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4750.0,POUNDS PER ACRE,False,True,4750.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1969,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4318.0,POUNDS PER ACRE,True,True,4318.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1969,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,3950.0,POUNDS PER ACRE,False,True,3950.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1969,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4450.0,POUNDS PER ACRE,False,True,4450.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1970,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4618.0,POUNDS PER ACRE,True,True,4618.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1970,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4500.0,POUNDS PER ACRE,False,True,4500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1970,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4500.0,POUNDS PER ACRE,False,True,4500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1970,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4800.0,POUNDS PER ACRE,False,True,4800.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1970,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4400.0,POUNDS PER ACRE,False,True,4400.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1970,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3900.0,POUNDS PER ACRE,True,True,3900.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1970,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5700.0,POUNDS PER ACRE,False,True,5700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1971,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3800.0,POUNDS PER ACRE,True,True,3800.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1971,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4600.0,POUNDS PER ACRE,False,True,4600.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1971,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,5100.0,POUNDS PER ACRE,False,True,5100.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1971,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5050.0,POUNDS PER ACRE,False,True,5050.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1971,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4800.0,POUNDS PER ACRE,False,True,4800.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1971,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4718.0,POUNDS PER ACRE,True,True,4718.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1971,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5200.0,POUNDS PER ACRE,False,True,5200.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1972,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4727.0,POUNDS PER ACRE,False,True,4727.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1972,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4700.0,POUNDS PER ACRE,True,True,4700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1972,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4975.0,POUNDS PER ACRE,False,True,4975.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1972,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4559.0,POUNDS PER ACRE,False,True,4559.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1972,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4449.0,POUNDS PER ACRE,False,True,4449.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1972,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5700.0,POUNDS PER ACRE,False,True,5700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1972,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3825.0,POUNDS PER ACRE,True,True,3825.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1973,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,3740.0,POUNDS PER ACRE,False,True,3740.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1973,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4274.0,POUNDS PER ACRE,True,True,4274.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1973,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3451.0,POUNDS PER ACRE,True,True,3451.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1973,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4306.0,POUNDS PER ACRE,False,True,4306.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1973,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4770.0,POUNDS PER ACRE,False,True,4770.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1973,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5616.0,POUNDS PER ACRE,False,True,5616.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1973,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4346.0,POUNDS PER ACRE,False,True,4346.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1974,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5290.0,POUNDS PER ACRE,False,True,5290.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1974,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3650.0,POUNDS PER ACRE,True,True,3650.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1974,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4610.0,POUNDS PER ACRE,False,True,4610.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1974,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4180.0,POUNDS PER ACRE,False,True,4180.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1974,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4494.0,POUNDS PER ACRE,False,True,4494.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1974,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4440.0,POUNDS PER ACRE,True,True,4440.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1974,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,3886.0,POUNDS PER ACRE,False,True,3886.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1975,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4560.0,POUNDS PER ACRE,False,True,4560.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1975,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3810.0,POUNDS PER ACRE,True,True,3810.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1975,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4210.0,POUNDS PER ACRE,False,True,4210.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1975,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4558.0,POUNDS PER ACRE,True,True,4558.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1975,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5750.0,POUNDS PER ACRE,False,True,5750.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1975,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,3900.0,POUNDS PER ACRE,False,True,3900.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1975,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4540.0,POUNDS PER ACRE,False,True,4540.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1976,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4810.0,POUNDS PER ACRE,False,True,4810.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1976,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4770.0,POUNDS PER ACRE,False,True,4770.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1976,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3910.0,POUNDS PER ACRE,True,True,3910.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1976,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4200.0,POUNDS PER ACRE,False,True,4200.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1976,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5520.0,POUNDS PER ACRE,False,True,5520.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1976,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4663.0,POUNDS PER ACRE,True,True,4663.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1976,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4200.0,POUNDS PER ACRE,False,True,4200.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1977,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4000.0,POUNDS PER ACRE,False,True,4000.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1977,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4230.0,POUNDS PER ACRE,False,True,4230.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1977,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4670.0,POUNDS PER ACRE,False,True,4670.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1977,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3670.0,POUNDS PER ACRE,True,True,3670.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1977,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4412.0,POUNDS PER ACRE,True,True,4412.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1977,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5810.0,POUNDS PER ACRE,False,True,5810.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1977,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,3700.0,POUNDS PER ACRE,False,True,3700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1978,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4484.0,POUNDS PER ACRE,True,True,4484.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1978,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4330.0,POUNDS PER ACRE,False,True,4330.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1978,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,5220.0,POUNDS PER ACRE,False,True,5220.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1978,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3820.0,POUNDS PER ACRE,True,True,3820.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1978,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4450.0,POUNDS PER ACRE,False,True,4450.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1978,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4250.0,POUNDS PER ACRE,False,True,4250.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1978,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4700.0,POUNDS PER ACRE,False,True,4700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1979,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,3810.0,POUNDS PER ACRE,False,True,3810.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1979,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4050.0,POUNDS PER ACRE,False,True,4050.0
